,category,short_description,date
352,QUEER VOICES,us living somewhere independence institutional structure lets talk sex remind working us much us activities daily living adl deserve right awesome daily loving,2014-05-03
353,QUEER VOICES,duncan carter gives mother monster run money,2016-10-28
354,QUEER VOICES,omg,2017-03-01
355,QUEER VOICES,humans connection someone,2016-06-11
356,QUEER VOICES,notion trumps discriminatory actions transgender servicemembers cost savings doesnt meet basic standards scrutiny,2017-07-27
357,MEDIA,south african comedian reportedly recovering well,2015-11-04
358,QUEER VOICES,payton bradley loved golf harassment teammates caused quit,2018-01-24
359,QUEER VOICES,going nonmanly guys running around united states apparently great assumption engaging activities ranging military exercises boy scouting could eliminate problem altogether,2012-05-26
360,MEDIA,americans right arm protection wrote even loons,2017-10-02
361,QUEER VOICES,get long winding road starting passage prop 8 2008 stunning announcement david boies ted olson teaming fight one victory another still resumption marriage,2013-06-15
362,MEDIA,fox news host also said hasnt asked serve new administration,2016-11-14
363,MEDIA,nothing worked florian ramseger went people statistics department showed data response received question fit data linear model clearly nonlinear correlation,2016-01-09
364,QUEER VOICES,,2014-05-24
365,QUEER VOICES,dr gary gates reported 50 percent people identify lesbian gay bisexual identify bisexual hes also reported 35 percent us adult population identifies lgb detractors seem feel latter percentage low former high,2012-11-22
366,QUEER VOICES,dont need man make woman,2015-08-27
367,MEDIA,,2015-03-12
368,QUEER VOICES,week gwist join joel kahn broke foodie shows host terrific backyard party staying,2013-07-21
369,QUEER VOICES,mike pompeo long opposed samesex marriage queer rights issues,2018-03-13
370,MEDIA,,2014-09-05
371,QUEER VOICES,,2015-06-14
372,QUEER VOICES,,2015-01-28
373,MEDIA,platform set launch later year,2018-02-20
374,QUEER VOICES,company xiv version features genderbending stepmother chorus boys galore,2015-10-16
375,QUEER VOICES,ate last piece cheesecake decide,2017-05-18
376,QUEER VOICES,promise marxism would level playing field human dignity never quite worked lgbtq community,2016-11-27
377,QUEER VOICES,gavin grimm heart upcoming scotus case,2017-02-20
378,MEDIA,,2015-01-05
379,QUEER VOICES,asked project shawn hollenbach logo said thought would equally cathartic hilarious,2013-08-24
380,QUEER VOICES,one supporter values voter summit says jesus would tweeted like trump,2017-10-14
381,QUEER VOICES,dj artform man booth pressed button launched night humiliation san diego gay mens,2016-05-24
382,MEDIA,,2015-04-07
383,QUEER VOICES,2017 robert tennent experienced sexual assault led period celibacy time attended counseling able introduce sex life,2018-05-14
384,QUEER VOICES,darkness blanketed new york city skye adrian sat alone outside parents apartment devastated left,2017-01-10
385,QUEER VOICES,singer offered cheeky nod 80s smash condemning house bill 1523,2016-04-19
386,QUEER VOICES,shake science instructors calloused hand hope really understands take heart described gut wrenching sam hear words pick lab partner hard put position odd man nobody wants paired kid used girl,2013-03-09
387,MEDIA,due respect bloomberg medias flagship political television show also shown msnbc weeknights,2015-12-07
388,QUEER VOICES,,2015-01-23
389,MEDIA,file needlessly offensive columns,2015-08-14
390,QUEER VOICES,dont get hopes cohencooper romance anytime soon,2017-12-18
391,QUEER VOICES,music fight rights lesbian hiphop duo says,2016-03-15
392,QUEER VOICES,ongoing incidents concerning inappropriate police shootings call body cameras getting increasingly louder loud scores police departments across nation already implemented begun implementation technology,2015-04-15
393,MEDIA,,2014-07-20
394,QUEER VOICES,,2014-04-18
395,QUEER VOICES,latest clip huffpost gay voices writerperformer justin sayre tackles controversy ensued two gay,2015-07-31
396,MEDIA,newspaper refuses retract explosive groping story allegations trumps inappropriate behavior pile,2016-10-13
397,QUEER VOICES,really want public apology really said something important kind,2013-09-01
398,MEDIA,committee protect journalists makes unprecedented statement us presidential nominee,2016-10-13
399,QUEER VOICES,like skin im proud said rainbow cape,2018-05-08
400,QUEER VOICES,late mogul became ally trans visibility awareness years many others,2017-10-01
401,QUEER VOICES,theyre dangerously bad research,2017-09-08
402,QUEER VOICES,,2015-05-30
403,QUEER VOICES,,2015-06-21
404,MEDIA,got schooled sunday style,2018-03-27
405,QUEER VOICES,committed upholding values sport instills us,2017-03-16
406,QUEER VOICES,week huffpost gay voices partnership blogger scout lgbt healthlink researcher susana fajardo brings,2015-07-18
407,MEDIA,cant keep reactive,2018-04-04
408,QUEER VOICES,despite fact full lgbt equality yet achieved trend towards achievement goal definitely clear,2013-07-07
409,QUEER VOICES,washington least one million people die subsaharan africa elsewhere researchers advocates said,2017-05-24
410,QUEER VOICES,currently relationship poet eileen myles,2015-12-09
411,QUEER VOICES,connection definitely happen martin said,2018-03-07
412,MEDIA,jesse lee peterson slams acts political unity shooting alexandria baseball field,2017-06-19
413,QUEER VOICES,years fine upstanding residents hamlets fought city better live youre gay one lifes greatest mysteries unanswered greatest minds believe time put fight bed,2013-02-09
414,QUEER VOICES,kali vickie family isnt defined race sexuality gender,2018-03-29
415,MEDIA,dont pour water ear tell raining give facts,2017-06-28
416,QUEER VOICES,,2014-12-13
417,QUEER VOICES,collins play nba next year im sure certain teammates might feel threatened presence locker,2013-05-04
418,QUEER VOICES,sorry mississippi case cant swing ways either want join us 21st century may continue pervert empowering message christ dystopian time bubble trapping past long gone,2015-07-01
419,QUEER VOICES,equality science issue effects us many levels ability save lives whats right,2016-06-06
420,MEDIA,john moody wrote 2018 winter olympics called darker gayer different,2018-03-02
421,QUEER VOICES,complicated portrayal representative social stigma centered forbidden love matt baume says latest culture cruise video,2018-04-02
422,QUEER VOICES,dramedy follow rise club kid global star,2017-08-10
423,MEDIA,nfl dishonors flag,2018-05-24
424,MEDIA,beginning focus much seriously many young people engaging us deepen relationships,2017-02-08
425,QUEER VOICES,oh say starspangled flag pride yet wave crooned roaring delight gathered celebrating,2013-06-29
426,QUEER VOICES,raised two women fine perhaps even better unique advantage learning man women man loves women world much femaleoriented hatred,2013-04-07
427,QUEER VOICES,people look older kids damaged goods theyre,2016-12-15
428,QUEER VOICES,,2015-06-26
429,MEDIA,ruben espinosa recently gone selfexile harassed,2015-08-02
430,QUEER VOICES,trans gendernonconforming people feel trapped bodies born still,2016-05-22
431,QUEER VOICES,honest find kind bizarre talking bathrooms presidential elections,2016-04-22
432,MEDIA,least dozen women accused rose unwanted sexual harassment,2017-11-21
433,QUEER VOICES,wow,2016-08-25
434,MEDIA,blooper endall,2017-10-12
435,QUEER VOICES,love someone youre willing takes,2017-01-18
436,QUEER VOICES,suddenly mothers day two dads youre jacked,2016-05-01
437,MEDIA,,2014-08-12
438,QUEER VOICES,nation fire human rights record time,2017-10-06
439,MEDIA,decision comes bombshell new york times investigation sexual harassment claims made fox news host bill oreilly,2017-04-04
440,QUEER VOICES,american family associations bryan fischer minced words asked stance gayfriendly churches fischer,2013-04-06
441,MEDIA,unprecedented says nbcs andrea mitchell,2017-05-10
442,QUEER VOICES,extremely talented artist making hilarious work us queers please check,2014-03-23
443,QUEER VOICES,pat mccrory cant escape lingering effect states bathroom bill,2017-01-23
444,MEDIA,understanding compassionate people pain criticize question berate perhaps even revile forgive love care need good care feeding arduous journey,2015-04-10
445,MEDIA,,2014-07-27
446,QUEER VOICES,typically vast majority enter sex trade teens late twenties however first raw candid threepart series explores man certain age became porn actormodel nearly 40and career industry,2015-06-26
447,QUEER VOICES,talk inspiring,2015-10-29
448,MEDIA,era fake news conspiracy theories hoaxes alternative facts covfefe biased advocacy journalism outlets,2017-07-13
449,QUEER VOICES,,2014-05-26
450,QUEER VOICES,next years hard might pass quickly know want end right know feel like thing stop pain idea wonderful future going,2015-03-28
451,QUEER VOICES,oldest son fourth grade hes never incident antigay bullying school may lulled false sense security caught totally guard happened little brother,2014-09-20
452,QUEER VOICES,,2015-04-11
453,QUEER VOICES,christians targeted children,2016-10-29
454,QUEER VOICES,,2015-01-10
455,QUEER VOICES,doctor didnt expect find found wasnt ovarian cancer certainly everywhere biopsy went cancer board know one filled experts would try figure dealing,2014-12-10
456,QUEER VOICES,first ones accept,2017-04-08
457,MEDIA,gross gross gross,2015-08-06
458,QUEER VOICES,,2015-01-25
459,QUEER VOICES,child molester doesnt need put dress go bathroom,2016-05-08
460,QUEER VOICES,moab pride created one unique pride events country years theme naturally engayged promises combine beauty moab surrounding national parks utahs growing awareness celebration lgbt population,2013-09-21
461,QUEER VOICES,,2016-10-27
462,QUEER VOICES,weve girl,2015-08-24
463,QUEER VOICES,frank looked legal legislative victories signorile takes us path towards winning american psyche points positive opinion polls tell surface story,2015-04-05
464,QUEER VOICES,mara keisling agree fact implementation change happen watch everyone federal bureau,2012-08-11
465,QUEER VOICES,turing tragedy worth considering remind us despite sustained shift away sexual discrimination science still hasnt fully come terms fact one influential icons gay,2012-06-23
466,QUEER VOICES,challenge make oneself vulnerable said,2016-01-20
467,MEDIA,thriving democracy truth matters facts matter,2017-04-27
468,MEDIA,ven audience isnt willing pay directly content membership packages allow newspapers offer something different emotional connection core readers complemented special deals opportunities expect memberships become common feature,2014-06-29
